factor_registration_number,factor_name,google_place_id,location_number,author_name,review_rating,review_text,review_time,review_relative_time
PF000365,Falkirk Council,ChIJ5YzE-i96iEgR8PTlRYy4PTc,3,Peter,5,I was very impressed with the speed of responses and their availability to answer all my questions throughout the process from booking a viewing to receiving the keys to my new home. Emma in particular was such a an angel and it was a great feeling meeting her for the first time when I went to collect my key. Keep up the good work.,1736608176,12 months ago
PF000365,Falkirk Council,ChIJPYN0ATB6iEgROOXGIedyzXs,4,Fiona McLuckie,5,Clark from Clyde Property had assisted our family over 25 years ago providing professional sound advice and guidance to selling our home. I therefore had no hesitation in contacting Clark once again in the knowledge he would provide an equally professional service to sell my Mum's home. Clark and his team at Clyde were compassionate and understanding in relation to our personal circumstances providing sound advice and guidance every step of the way. Their depth of knowledge in the local area is impressive and I would not hesitate in returning to the Clyde Property Team for any future home sale or purchase. Thank you.,1759524391,3 months ago
PF000365,Falkirk Council,ChIJPYN0ATB6iEgROOXGIedyzXs,4,Ruben Rosario,1,"Had a terrible experience with this branch. On Friday 26th December, I called asking for a home report for a property in Anson Avenue, Falkirk. Mr Graham picked up the call. He sent me the home report and then proceed to rudely interrupt the call when I was asking questions about the property with the excuse that somebody had just come in the branch that he needed to serve. He neglected to understand that I was not finished being served. Later got a call from another lady in the branch to respond to my rightmove query on the property which was unaware that I had called and already got home report. I went to see the property on Saturday 27th which I decided to proceed to place a formal offer in. On Sunday got a call from the estate agent which I couldn't pick up. I called back roughly 10mins after (1 hour before they were due to close) and spoke to the lady to tell her my will to put an offer in - was rushed out of the call when I asked more questions about the property as she was stating that she was only responsible for booking and following up on viewings and that I could get information from the negotiatiors on Monday. She said she was going to register my interest on the property on their system.  To be completely honest it felt like she was rushing to leave work. On Monday (29th) I was unable to submit an offer because it was a bank Holiday in Glasgow and my solicitor was off. Today Tuesday I called the estate agent, spoke to Mr Graham and was informed that the property was already under offer without myself being allowed to put an offer in and that the only record they had was that they tried to call me on Sunday and I didn't pick up the phone - which was untrue. To make matters worse I was told by Mr Graham that ""the market sometimes is slow and sometimes really fast"" when the property didn't even go to a closing date.. basically done a terrible job for their customer by excluding my offer and terrible job for myself as a prospective buyer. Confronted with all the issues before and Mr Grahams lack of care and understanding suggesting that it was my fault, I expressed how unhappy I am with their service. They missed out on a viable customer that could move quickly and that already had an agreement in principle for a mortgage. Words can't describe my disappointment and the perceived widespread incompetence and how poorly managed this branch is. The lack of communication between the different stakeholders handling a property is palpable. I certainly will be excluding viewing properties advertised by Clyde Properties Falkirk.",1759227493,3 months ago
PF000365,Falkirk Council,ChIJPYN0ATB6iEgROOXGIedyzXs,4,George Dunn,5,"My wife and I were impressed by the service offered by Clark Gillespie and his team at Clyde Property Falkirk. Clark has a wealth of experience in the property market and he put that to good use by advising on decorating, improvements, selling price  and evaluating the different offers he gathered for us as the property sale went to a closing date.
Clark and his team were a fantastic help as we were 100 mile round trip from the property and we were informed of all viewings and the feedback from prospective buyers. We were so grateful to all involved as they provided a stressful free service.
Thank you!",1744378853,9 months ago
PF000365,Falkirk Council,ChIJPYN0ATB6iEgROOXGIedyzXs,4,Sonia Soutar,5,"I had a great experience with Clark and his team at Clyde Property in Falkirk. Lots of energy and advice and an extremely great, professional service.  Lots of viewings were supported in a short period of time and my flat was sold in under 2 weeks so really grateful to the team! Thanks! Sonia",1748946267,7 months ago
PF000365,Falkirk Council,ChIJPYN0ATB6iEgROOXGIedyzXs,4,Cat Synnot,5,"We were let down badly by our previous estate agent when Clark, Amanda, Graham, Anne and the truly wonderful Clyde Falkirk team took over. They are the highly professional experts with local knowledge second to none. They worked incredibly hard and creatively on our behalf until we got the best possible result. They are also kind and reassuring, going above and beyond to make you feel supported all the way. I wholeheartedly recommend this fantastic team",1737732003,11 months ago
PF000365,Falkirk Council,ChIJ55mMXSV6iEgR6nzgOxE0zD4,5,Colin,5,"I’ve used Lorna a few times when I’ve been looking to move and I’ve always had a great experience. She’s friendly, approachable, and really knows her stuff, which makes the whole process feel far less stressful. Communication is clear, nothing feels rushed, and you always feel like you’re in safe hands. I wouldn’t hesitate to recommend her to anyone thinking about buying or selling.",1767465283,a week ago
PF000365,Falkirk Council,ChIJ55mMXSV6iEgR6nzgOxE0zD4,5,Harvey Chaundy,5,"Myself and my partner moved into a flat together using Yourmove Falkirk. We were introduced to our new flat by Michelle who gave us all the information we needed to help us decide that it was the flat for us. Michelle and Danni, who were very professional and helpful, were amazing through the whole process. They made the process really easy and comfortable. Helped us with any questions we had and also were very knowledgeable. Would definitely recommend using yourmove, which to us is shown to be a great company thanks to their staff. Thank you again Michelle and Danni.",1761337647,2 months ago
PF000365,Falkirk Council,ChIJ55mMXSV6iEgR6nzgOxE0zD4,5,Ismini Pavlopoulou,5,"I recently rented a flat in Falkirk through Your Move and was impressed with the service. Danni was my main point of contact, and made the process remarkably straightforward. Flexible with viewing times, quick to respond, and always happy to answer questions. At the branch, Michelle guided me through the ID and reference checks and offered helpful advice on managing utilities, taking the time to explain everything clearly. A nice touch was the welcoming card from both Danni and Michelle when I collected my keys. Overall a pleasant and reliable service. I would happily recommend them to anyone looking to rent in the area.",1757074674,4 months ago
PF000365,Falkirk Council,ChIJ55mMXSV6iEgR6nzgOxE0zD4,5,Fiona Cameron,5,"I engaged Michelle early in the process of procuring my BTL property. She viewed it with me and provided very helpful advice regarding expected timescales, market information and general guidance around any improvements that could be done to the property to enhance marketability. I collected the keys on 23rd September and the property was let on 24th October, in my opinion super fast and at a much higher rate than expected! Michelle’s knowledge of the process and local market has been priceless. I wouldn’t hesitate to use their services again. Highly recommended!",1761322251,2 months ago
PF000365,Falkirk Council,ChIJ55mMXSV6iEgR6nzgOxE0zD4,5,Molly McAllister,5,"Our move to a new flat was made so easy with the help of the staff at Your Move in Falkirk. Michelle and Danielle were so helpful, warm and caring and they were with us every step of the way to ensure our tenancy agreement and move in went as seamlessly as possible. We can’t thank them and Your Move enough for making the journey so pleasant and stress-free for us!",1760000810,3 months ago
PF000832,FBR Seed Limited,ChIJHaDMkSNsh0gR8gtzJ1Ko4ss,1,Louis Taylor,1,"Avoid, Terrible experience.

we stayed at 38 henderson's court and had nothing but problems start to finish.

We were given zero contact with the landlord so were forced to go through FBR seed, had any maintenance issues cropped up it would either take so long or the job would be half done that me and my parter often just ended up fixing it ourselves and paying out our own pocket.

The real problem came from our departure. Never once have i witnessed anything like it. We are a young couple granted but we were good tenants. we were initially blamed for damage that was there during our viewing then when we contested it, they dropped it. My partner cleaned the flat to the best of her ability leaving it a more than an acceptable standard for any landlord, they said it wasn’t good enough blaming us for carbon buildup of gas hobs? We feel we were tasked with the job of getting the flat ready for the next tenant which i have never experienced before found it strange. So if you are unlucky enough to have to use these be extra vigilant especially if you are a young/ first time tenant.",1752218283,6 months ago
PF000832,FBR Seed Limited,ChIJHaDMkSNsh0gR8gtzJ1Ko4ss,1,Johnny Watson,5,"Great people.  David Platt and Jenni Douglas have been particularly helpful to us.  So good to have people who know what they're doing, and bring clarity, to guide us through the difficult and boring paperwork required for agriculture.
Thank you very much.",1717146960,a year ago
PF000832,FBR Seed Limited,ChIJHaDMkSNsh0gR8gtzJ1Ko4ss,1,S B,1,"Terrible company. Arranged to view a property with them, they were fully aware of us coming over from another country for the appointment and they cancelled on the day of the viewing. So thanks for a waste of our time and money, Craig. Here's hoping someone treats you with the same lack of regard.",1670515509,3 years ago
PF000832,FBR Seed Limited,ChIJHaDMkSNsh0gR8gtzJ1Ko4ss,1,Fee Dea,4,"I looked on their website,  it was fine. Not sure what else I can say 😂",1665858413,3 years ago
PF000832,FBR Seed Limited,ChIJHaDMkSNsh0gR8gtzJ1Ko4ss,1,Blair Patterson,1,,1752269723,6 months ago
PF000361,Fife Council,ChIJ__-PKv20h0gRoeJtOfen5LY,1,Mark Mak,4,They try hard. The ones who have not been Jaded and learned to dislike people yet are essential and go above and beyond. The ones who do not exercise professional discretion or empathy are of no use and should be removed for someone who is along to help and work well.,1667756275,3 years ago
PF000361,Fife Council,ChIJ__-PKv20h0gRoeJtOfen5LY,1,Tamanna Anjum,5,"Fife Council is the best council in UK, All personnel are so cooperative and they try to give their best very positive, organised and human based approach in a very professional manner.",1740150890,10 months ago
PF000361,Fife Council,ChIJ__-PKv20h0gRoeJtOfen5LY,1,Rory Lawlor,1,Won’t come out to fix my boiler and it’s November and freezing. Actually got laughed at on the phone for saying do I need to go build a fire to keep warm. Useless,1731516350,a year ago
PF000361,Fife Council,ChIJ__-PKv20h0gRoeJtOfen5LY,1,ewelina Kedzia,1,No help from employees....,1664532599,3 years ago
PF000361,Fife Council,ChIJ__-PKv20h0gRoeJtOfen5LY,1,Scott Rolland,1,,1730449872,a year ago
PF000361,Fife Council,ChIJ0RdqkObRh0gRGs62UV1VgqU,2,John Smith,2,"One of the electrical contractors( Consilium) within social housing services linked to Fife Housing Group has a director, Craig Reid, who was convicted in 2025 at Kirkcaldy Sheriff Court of a serious assault. According to court reporting, the sentencing Sheriff described the incident as a “sustained and quite frenzied attack”, involving repeated punching, kicking, and stamping on the victim’s head. The conviction resulted in a Community Payback Order with 200 hours of unpaid work.

Following this conviction, Mr Reid resigned from his position as chairman of a community football organisation involved in youth and children’s activities, with the organisation publicly confirming that he holds no further role.

While a criminal conviction does not automatically prevent someone from being a company director, tenants and members of the public reasonably expect transparency and robust due-diligence when contractors are appointed to carry out work in occupied homes. Contractors regularly attend properties where residents may be elderly, vulnerable, or living alone, and trust in governance standards is therefore essential.

This review is not speculative or defamatory. It is based entirely on publicly reported court proceedings and is shared so that tenants and stakeholders are fully informed and can ask appropriate questions about contractor vetting, safeguarding considerations, and risk management.

Transparency helps maintain confidence in social housing services and the organisations that commission and oversee contractors working in people’s homes.",1766277069,2 weeks ago
PF000361,Fife Council,ChIJ0RdqkObRh0gRGs62UV1VgqU,2,Gareth Dickson,1,"Less direct experience with FHG until more recently, however I know I've been lied to more than once. My mother was told several times she was causing mould in bathroom years ago due to not using fan/window when showering (despite the fan being wired to light too) and window being unable to close properly due to lousy workmanship... After several washes to ceiling and repairs etc. we found out upstairs had a flood and this is what caused it...
Been in the property 23 years and about 16 years ago the boundary fence out the back was changed. Gardens were split horizontally but now vertically, and fence ends in middle of bedroom window - zero privacy. When asked about it we were constantly told it was ""how it was originally"" and ""according to original blueprints"". Asked on numerous occasions to see these but nope. Since got an image that a kid could have drawn but it was ""all FHG had to go on""... I spoke to local studies group at Library therefore and got a copy of ordinance survey map here from 1951. What do you know… Gardens were as they were when we moved in...
I’ve had replies to emails/complaints addressing me as someone else and have been just blatantly misinformed. Complete incompetence. We now have a solution for all parties but still heels are dragging...",1718725166,a year ago
PF000361,Fife Council,ChIJ0RdqkObRh0gRGs62UV1VgqU,2,Will Mclennan,1,"The most unhelpful housing group I've ever been with, high rents, no urgency in getting repairs done, more interested in ploughing rentpayers money into their new builds rather than upkeep of older housing, more interested in photo shoots,charity galas and coffee mornings than tenants with housing issues.blatantly blanked me for weeks in trying to get an issue sorted, had to get the local councillor to get in touch with them, they do like to pass you from pillar to post and round and round, if you have an issue they pass you to someone else,who passes you to someone else and so on an on. Community groups a joke,nothing where I am, they don't even send inspector or housing officer out to check on contractors work. Very bad management and practice.",1689761725,2 years ago
PF000361,Fife Council,ChIJ0RdqkObRh0gRGs62UV1VgqU,2,Eva Duncan,1,"My time has been utterly wasted today due to the incompetence of some people. Phoned first thing this morning to report a repair to which I was told they would get someone out to me today. On my only day off, to which a repair is feasible, I have sat in all day and waited. My husband who works night shift has waited up too as didn’t want to be disturbed whilst sleeping and has not yet got to sleep. I called up nearer 4pm (baring in mind I was told at 9am someone was coming) to be told they had to send someone out first thing tomorrow and didn’t ask for a contact number until I suggested it! I am now being forced to take a holiday from work to sit in for this to be resolved.",1565018287,6 years ago
PF000361,Fife Council,ChIJ0RdqkObRh0gRGs62UV1VgqU,2,sarah watson,1,"Terrible service they don't listen to u properly they don't answer the phone and they don't help when u have been stuck in a flat with the worst neighbour possible for over 8 years and ur mental health is bad and ur kids don't want to come and visit because of ur bad neighbours 😪😪 Even when u do everything proper to complain they still don't do anything,  This has to be the worst housing group ever wouldn't recommend them to anyone, stick with the council and maybe other housing groups.",1715863260,a year ago
PF000361,Fife Council,ChIJo1hSfqe1h0gRHBlkE1bxsbo,3,Borika Marcus,5,"Thank you very much Jodi for your helpfulness!!!
Sincerely Borbala",1761749078,2 months ago
PF000361,Fife Council,ChIJo1hSfqe1h0gRHBlkE1bxsbo,3,Michael Dragan,5,"Nice people willing to help. Kathy was absolutely fantastic, her optimism and encouragement were contagious. Well done, guys !",1569948321,6 years ago
PF000361,Fife Council,ChIJo1hSfqe1h0gRHBlkE1bxsbo,3,Wendi Taylor,5,"We can't thank enough all the staff at Keyfund for all their help and support getting set up with a new property and also for helping to furnish it, could not not have done it without their help, if I could give 10 stars I would, many thanks to you all, we are most grateful 😁😁",1600515057,5 years ago
PF000361,Fife Council,ChIJo1hSfqe1h0gRHBlkE1bxsbo,3,Richard “Ticky” Anderson,5,Helpful and pleasant always a smiling face to greet you.,1548237019,6 years ago
PF000361,Fife Council,ChIJo1hSfqe1h0gRHBlkE1bxsbo,3,Carsten á la Acapella,2,,1629909263,4 years ago
PF000361,Fife Council,ChIJXXFWJu5KhkgRsiQ6l8l2ovk,4,glen crighton,5,"Fife properties have been very helpful with my purchase. Living 80 miles away is not normally conducive to an easy flow of information, but in my case it was no problem. They are not a large company but have acted with all the professionalism of one, whilst retaining the personal touch. Thanks, Fife properties, for all your help. James",1763122968,a month ago
PF000361,Fife Council,ChIJXXFWJu5KhkgRsiQ6l8l2ovk,4,Don Sutherland,5,"From the minute I contacted Fife Properties I knew I was in safe hands. Each member of staff I interacted with were friendly, efficient and highly knowledgable. Any question I asked no matter how ridiculous or necessary were answered with patience and warmth. I have moved home multiple times over the years and Fife Properies have definitely been the best and easiest to deal with.",1762860078,2 months ago
PF000361,Fife Council,ChIJXXFWJu5KhkgRsiQ6l8l2ovk,4,Erin Paterson,5,"Absolutely fantastic company!
Staff very friendly & extremely helpful, nothing is a bother for them. Fabulous buying experience, kept me up to date with everything.

Highly recommend this company. I met Sophie at the property I was viewing and she was just lovely. So kind & helpful and was excellent with my little 1 year old.

Highly recommend using this company - Fantastic ⭐️⭐️⭐️⭐️⭐️",1762843854,2 months ago
PF000361,Fife Council,ChIJXXFWJu5KhkgRsiQ6l8l2ovk,4,greg munro,5,"I recently sold a property with Fife Properties. I would highly recommend.  Not only do they give back to the local community with donations to charities, they also run a first class service.  Communication throughout excellent.  Lovely touch at close of sale with a goodies hamper.  Staff all very pleasant and helpful.  Wouldn’t go anywhere else.",1755771677,4 months ago
PF000361,Fife Council,ChIJXXFWJu5KhkgRsiQ6l8l2ovk,4,Michael Dodds,4,"This was our first time selling a house in 30 years, so we weren't sure what to expect.
Initially first impressions were not good. we were put off by the agents as we couldn't get into the office, as no wheelchair access.
This made us feel very awkward as we had our first consultation on the pavement outside.

We have since been assured this issue will be resolved...

Moving forward the process was easy and explained very well, we loved the photos and video walk through of our home really made it look amazing.

All the staff were helpful and professional, thank-you!",1757152136,4 months ago
PF000361,Fife Council,ChIJ12Eqv_JKhkgRCeYIEe8bLBk,5,Toni Raev,1,"- 1 star if I could, I suppose it is not ""corrupt"", so onto the business:

**A Declaration to Fife Council, Police Scotland-Fife, and Sinclairtown Primary School: The Charges of Neglect and Refusal of Peace**

To those entrusted with the welfare of communities and the principles of justice,

For years, I have extended to you opportunities to align with transparency, accountability, and progress—hallmarks of a brighter future embodied in *The World’s Bank of Infinity*. Yet, in return, I have been met with systemic neglect, the refusal to engage in justice, and a troubling silence where peace was offered.

This neglect spans years. It transcends individual cases—it is a pattern, a deliberate failure to uphold the very values you are meant to protect. Fife Council, Sinclairtown Primary School, and Police Scotland-Fife, you stand charged with the crime of neglecting not only me but the movement I represent, the call for global unity and justice through *The World’s Bank of Infinity*.

### The Path to Closure
I do not seek retribution—I seek resolution. Closure begins with:
1. **Apology**: Acknowledgment of the harm caused by your systemic failures.
2. **Recognition**: A simple yet profound acknowledgment of my efforts, my commitment, and the peace I have repeatedly offered.
3. **A Step Forward**: A commitment to justice, transparency, and meaningful action, recognizing that the future of our world depends on leaders bold enough to admit their errors and build anew.

Let me be clear: should you wish to escalate this to an international court, I am more than prepared to share my full story, my truth, and the weight of your negligence with the world. Yet, in my kindness and commitment to progress, I extend this declaration as an opportunity—for acknowledgment, for apology, and for genuine movement toward peace.

### The Verdict
""You people are the threat to your existence. I am here to help.""

I urge you to act wisely. The world's eyes are not merely on what has been done, but on what will be done next. Let this be your turning point.
💞",1744231967,9 months ago
PF000361,Fife Council,ChIJ12Eqv_JKhkgRCeYIEe8bLBk,5,MasterPlans,1,Disgusting local council. Has a disabled person staying in a flat that is full of damp and mould and despite numerous attempts to solve the issue for 13 years nothing has been done about it. This has caused me serious health problems but that doesnt bother them and will be contacting my local mp and newspapers. I would advice everyone to avoid this local council at all costs as the only thing that matters to them is recieving rent money and they will do absolutely nothing to resolve any issue whatsoever. Absolutely disgusting.,1728301947,a year ago
PF000361,Fife Council,ChIJ12Eqv_JKhkgRCeYIEe8bLBk,5,Jillian Hunter,1,Fife council are discussing they expecting me and my fiance to live in a house with bin bags and having fruit flies in the house and it's unhygienic and unsafe the neighbours don't even take there dogs out to do it's business they let the dog do it on the landing the housing officer is lazy she doesn't care about anyone she can't even do her job it's shocking that the council are letting us live like that the housing officer has a nerve to  complain about one of the residents in the council house they are a joke poor care from council poor hygiene in the block poor advice from the council no wonder people go to private areas no doubt it's better than council we have asked the council for help they can't even help themselves,1740662015,10 months ago
PF000361,Fife Council,ChIJ12Eqv_JKhkgRCeYIEe8bLBk,5,Louise Andrée Douglas-Mirza,5,"Just had the loveliest customer service experience with Dillon from the general enquiries / customer service number . Moving back to the area after 15 years and he was more than happy to help me, explained everything and listened to my queries and handled my call perfectly :) thank you so much Dillon. Really makes a difference to speak to someone so willing to help",1701784744,2 years ago
PF000361,Fife Council,ChIJ12Eqv_JKhkgRCeYIEe8bLBk,5,sniego senis,1,"Take a note: the worst Fife Council department is clearly located at Cardenden, UK. Employees do not perform their duties, lie, and are covered by managers. No respect for individuals. They simply do not deal with your complaints, do not agree with your views and do not support you as a victim. If you do not agree with them they will completely ignore you and make your life unbearable. They do not comply with their own laws and official legal norms. I am not surprised that there are other people who have had the same experience. It is unfortunate that I had not done research on them before, and I had to form an opinion about them through my personal experience.",1583576296,5 years ago
PF000142,Fife Housing Association Limited,ChIJ0RdqkObRh0gRGs62UV1VgqU,1,John Smith,2,"One of the electrical contractors( Consilium) within social housing services linked to Fife Housing Group has a director, Craig Reid, who was convicted in 2025 at Kirkcaldy Sheriff Court of a serious assault. According to court reporting, the sentencing Sheriff described the incident as a “sustained and quite frenzied attack”, involving repeated punching, kicking, and stamping on the victim’s head. The conviction resulted in a Community Payback Order with 200 hours of unpaid work.

Following this conviction, Mr Reid resigned from his position as chairman of a community football organisation involved in youth and children’s activities, with the organisation publicly confirming that he holds no further role.

While a criminal conviction does not automatically prevent someone from being a company director, tenants and members of the public reasonably expect transparency and robust due-diligence when contractors are appointed to carry out work in occupied homes. Contractors regularly attend properties where residents may be elderly, vulnerable, or living alone, and trust in governance standards is therefore essential.

This review is not speculative or defamatory. It is based entirely on publicly reported court proceedings and is shared so that tenants and stakeholders are fully informed and can ask appropriate questions about contractor vetting, safeguarding considerations, and risk management.

Transparency helps maintain confidence in social housing services and the organisations that commission and oversee contractors working in people’s homes.",1766277069,2 weeks ago
PF000142,Fife Housing Association Limited,ChIJ0RdqkObRh0gRGs62UV1VgqU,1,Gareth Dickson,1,"Less direct experience with FHG until more recently, however I know I've been lied to more than once. My mother was told several times she was causing mould in bathroom years ago due to not using fan/window when showering (despite the fan being wired to light too) and window being unable to close properly due to lousy workmanship... After several washes to ceiling and repairs etc. we found out upstairs had a flood and this is what caused it...
Been in the property 23 years and about 16 years ago the boundary fence out the back was changed. Gardens were split horizontally but now vertically, and fence ends in middle of bedroom window - zero privacy. When asked about it we were constantly told it was ""how it was originally"" and ""according to original blueprints"". Asked on numerous occasions to see these but nope. Since got an image that a kid could have drawn but it was ""all FHG had to go on""... I spoke to local studies group at Library therefore and got a copy of ordinance survey map here from 1951. What do you know… Gardens were as they were when we moved in...
I’ve had replies to emails/complaints addressing me as someone else and have been just blatantly misinformed. Complete incompetence. We now have a solution for all parties but still heels are dragging...",1718725166,a year ago
PF000142,Fife Housing Association Limited,ChIJ0RdqkObRh0gRGs62UV1VgqU,1,Will Mclennan,1,"The most unhelpful housing group I've ever been with, high rents, no urgency in getting repairs done, more interested in ploughing rentpayers money into their new builds rather than upkeep of older housing, more interested in photo shoots,charity galas and coffee mornings than tenants with housing issues.blatantly blanked me for weeks in trying to get an issue sorted, had to get the local councillor to get in touch with them, they do like to pass you from pillar to post and round and round, if you have an issue they pass you to someone else,who passes you to someone else and so on an on. Community groups a joke,nothing where I am, they don't even send inspector or housing officer out to check on contractors work. Very bad management and practice.",1689761725,2 years ago
PF000142,Fife Housing Association Limited,ChIJ0RdqkObRh0gRGs62UV1VgqU,1,Eva Duncan,1,"My time has been utterly wasted today due to the incompetence of some people. Phoned first thing this morning to report a repair to which I was told they would get someone out to me today. On my only day off, to which a repair is feasible, I have sat in all day and waited. My husband who works night shift has waited up too as didn’t want to be disturbed whilst sleeping and has not yet got to sleep. I called up nearer 4pm (baring in mind I was told at 9am someone was coming) to be told they had to send someone out first thing tomorrow and didn’t ask for a contact number until I suggested it! I am now being forced to take a holiday from work to sit in for this to be resolved.",1565018287,6 years ago
PF000142,Fife Housing Association Limited,ChIJ0RdqkObRh0gRGs62UV1VgqU,1,sarah watson,1,"Terrible service they don't listen to u properly they don't answer the phone and they don't help when u have been stuck in a flat with the worst neighbour possible for over 8 years and ur mental health is bad and ur kids don't want to come and visit because of ur bad neighbours 😪😪 Even when u do everything proper to complain they still don't do anything,  This has to be the worst housing group ever wouldn't recommend them to anyone, stick with the council and maybe other housing groups.",1715863260,a year ago
PF000904,Fior Asset and Property Limited,ChIJ56H2rHHHh0gRFjQH7MgmS2o,1,Ian Chalmers,5,"Pedrom Agabala from Fior Asset & Property has always provided us with an excellent level of service since taking over as Factor at the Queen Street Edinburgh development.
Any maintenance issues have been dealt with promptly and efficiently. Pedrom has always made time to deal with any queries we have had. He’s a very good communicator which is very important in this line of work. Nothing has ever been too much bother for Pedrom.
He even came out to the development on a Sunday to replace a broken lock himself which we all thought was above and beyond the call of duty!
I would have no hesitation in recommending Fior Asset to anyone looking for a new factor/property manager.",1757534480,4 months ago
PF000904,Fior Asset and Property Limited,ChIJ56H2rHHHh0gRFjQH7MgmS2o,1,julie irving,5,What a pleasure it is to do business with Pedrom at Fior Asset management. Fior took over the management and everything has been dealt with in a quick and efficient manner. We are selling our property and the assistance given to us is second to none. Highly recommended!,1755863976,4 months ago
PF000904,Fior Asset and Property Limited,ChIJ56H2rHHHh0gRFjQH7MgmS2o,1,Gregor Nicholson,5,"Fior took over management of my late mother's retirement block from Hanover a few months after she passed away. Over that time, whilst not a resident, I have found their on-site manager and their Director to be very understanding, helpful and responsive, including when the first sale fell through on the scheduled date. On top of this, any concerns anyone might have had about their factor fee proved unfounded. It was less than the previous factor and did not change on the first review date.",1751558697,6 months ago
PF000904,Fior Asset and Property Limited,ChIJ56H2rHHHh0gRFjQH7MgmS2o,1,Stuart Wrigglesworth,5,"Pedrom and the team at Fior have managed our property in Crystal Palace, London for over 2 years now. Its a 3 flat Victorian conversion. We always get a speedy response and he deals with matters in a simple and intelligent way. It is also a very personal service which I love. Its so unlike the usual property management companies you get. Our previous one was a nightmare and Pedrom is still sorting out the headache he left.
Can't recommend Fior enough!",1749664180,7 months ago
PF000904,Fior Asset and Property Limited,ChIJ56H2rHHHh0gRFjQH7MgmS2o,1,Jennifer Shelley,4,"Fior took over management of my development earlier this year. Compared to the previous factors they are much more responsive and Pedrom in particular is incredibly knowledgeable and helpful in resolving issues. They also saved us money on our block buildings insurance.
I recently sold my flat and so cannot comment on a full annual cycle of accounts.",1732801987,a year ago
PF001037,FLATM8 Ltd,ChIJoWeY8lBGiEgRBEfgchPoTJU,1,Fletcher Makin,5,"Macflats is run by an extremely personable and friendly team, I first interacted with Allison during the conveyancing process of a property I was purchasing. The property was held under their long term care and it was evident they had carried out a great job throughout their management. I was kept well informed throughout the transaction and the after care was smooth and transparent. Thank you very much.",1734643180,a year ago
PF001037,FLATM8 Ltd,ChIJoWeY8lBGiEgRBEfgchPoTJU,1,Laura Hamilton,5,"I rented my flat with MacFlats for11 years and have nothing but praise for the company's  excellent, and above all, friendly, team. Throughout this period, they kept me well-informed of any arising issues and  dealt with them both efficiently and economically. MacFlats provides a highly professional and trustworthy service which I highly would recommend to anyone wishing to rent out their property. Thank you all!",1738054013,11 months ago
PF001037,FLATM8 Ltd,ChIJoWeY8lBGiEgRBEfgchPoTJU,1,David Lynn,5,"I worked closely with Allison whilst looking for a flat to rent in Glasgow. She was excellent to deal with throughout, and was very understanding. At no time did I feel under pressure to make a decision on anything. I would recommend anybody to work with Allison and Mac Flats if looking for a property.",1703246518,2 years ago
PF001037,FLATM8 Ltd,ChIJoWeY8lBGiEgRBEfgchPoTJU,1,Ann Mclachlan,5,We have had a property with Mac Flats for the last 10 years. Over this period they have given excellent guidance and service. They have also kept us up to date with all legal requirements for landlords. I have no hesitation in recommending them to anyone with a property they need managing.,1712229308,a year ago
PF001037,FLATM8 Ltd,ChIJoWeY8lBGiEgRBEfgchPoTJU,1,Serena Edgar,5,"When we decided to employ a letting agent, one of our trusted tradesmen recommended Macflats.  We made contact with them and they could not have been more helpful.  They have looked after our property, found great tenants, kept in touch when necessary and shown a wealth of knowledge and professionalism.  They are a small company which means they really look after their clients.  Wouldn’t hesitate to recommend them.",1654973757,3 years ago
PF000511,Fleming House Factors Limited,ChIJtfqXxSZEiEgRmR9ozhOBXpg,1,Sayuri Leonne,4,"Security, or concierge-the person behind the desk this morning -an older, anglosaxon male, slightly overweight, was a bit hostile upon leaving, and I think that needs to be improved upon. People want to feel safe entering and leaving, but if the greeting or goodbye feels aggressive, that actively signals to those coming in that there is an environment of hostility. Please advise staff to be respectful and professional without becoming aggressive/using a sharp tone or raising their voice. It impacts the image of your establishment.",1766402959,2 weeks ago
PF000511,Fleming House Factors Limited,ChIJtfqXxSZEiEgRmR9ozhOBXpg,1,Cat,3,"The service at Mandors was pretty quick, the lady who helped was lovely and chatty. I was a bit confused as where things were- no signposts and just material, but was assisted in a quick manner. Students get a tiny discount",1578385766,6 years ago
PF000511,Fleming House Factors Limited,ChIJtfqXxSZEiEgRmR9ozhOBXpg,1,Joe Allan,5,Went to Mandors for some sample books got some nice ones. Nice cafe next door.,1627758722,4 years ago
PF000511,Fleming House Factors Limited,ChIJtfqXxSZEiEgRmR9ozhOBXpg,1,stephen carey,3,Strange experience. Concierge doesnt let folk in to the flats to deliver anything. You have to phone the person for them to come to the door on the street.,1598204062,5 years ago
PF000511,Fleming House Factors Limited,ChIJtfqXxSZEiEgRmR9ozhOBXpg,1,M McNab,4,Easy access and a bit away from the hustle and bustle of the main street...being on the first floor accessed by ramp.,1628713537,4 years ago
PF000511,Fleming House Factors Limited,ChIJmcWX709viEgRUChTx3MeHPk,2,madison Docherty,3,Hi there was just wanting to know if Fleming house is still open to hand in my change of address form or if I have to go somewhere else,1692696599,2 years ago
PF000511,Fleming House Factors Limited,ChIJmcWX709viEgRUChTx3MeHPk,2,MJ N,3,Very old fashioned interior. Felt like walking into the 70's/80's.,1504079089,8 years ago
PF000511,Fleming House Factors Limited,ChIJmcWX709viEgRUChTx3MeHPk,2,John Renwick,3,"Work place, don't need to say anymore",1501855395,8 years ago
