factor_registration_number,factor_name,google_place_id,google_name,rating,review_count,address,phone,website,is_verified,google_maps_url,latitude,longitude,location_number,business_status,business_types
PF001015,DJM Property Services & Contracts Ltd,ChIJwcCe_chiiEgR97zwhD9E_h8,DJM Property Services & Contracts Ltd,2.3,4,"Unit 1, 4 Cunningham Rd, Stirling FK7 7SW, UK",07782 358900,http://www.djm.scot/,True,https://maps.google.com/?cid=2305355098864270583,56.1158617,-3.916698299999999,1,OPERATIONAL,"establishment, point_of_interest"
PF000131,Dumfries and Galloway Homes Limited,ChIJXwoX1yXLYkgRJYWJDLNLHZ0,Homes For Good (Scotland) CIC,5,13,"30 Great King St, Dumfries DG1 1BD, UK",0141 406 1830,https://homesforgood.org.uk/south-of-scotland/,True,https://maps.google.com/?cid=11321288270660863269,55.0694665,-3.6094473,1,OPERATIONAL,"establishment, point_of_interest"
PF000131,Dumfries and Galloway Homes Limited,ChIJYZ_fhGzKYkgRXatebTmCq5w,Dumfries Mortgage & Property Shop,5,7,"63 English St, Dumfries DG1 2DA, UK",01387 249304,,True,https://maps.google.com/?cid=11289260074093947741,55.06886739999999,-3.6084186,2,OPERATIONAL,"establishment, finance, point_of_interest"
PF000131,Dumfries and Galloway Homes Limited,ChIJ16paUf61YkgRogmWYtSmlko,Armstrong Group (Scotland) Ltd,3.8,4,"Downsway Industrial Estate, Heathhall, Dumfries DG1 3RS, UK",01387 253030,https://www.armstrong-group.co.uk/,True,https://maps.google.com/?cid=5374666636430543266,55.0924363,-3.5792139,5,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF000313,Dunbritton Housing Association Limited,ChIJr71U1aZSiEgRvb6037vnrU8,Dunbritton Housing Association Ltd,4,18,"1 Hatters Ln, Dumbarton G82 1AW, UK",01389 761486,http://www.dunbritton.org.uk/,True,https://maps.google.com/?cid=5741499894065315517,55.9427867,-4.568028,1,OPERATIONAL,"establishment, point_of_interest"
PF000176,Dundee City Council,ChIJmS3ZMpVchkgR-uh-9j3_Xsg,Premier Property Management,4.9,611,"12 Langland's St, Dundee DD4 6SZ, UK",01382 226611,https://premierpropertymanagement.co.uk/,True,https://maps.google.com/?cid=14438258096989989114,56.47119439999999,-2.9580838,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000176,Dundee City Council,ChIJe1vVL8dchkgROpSluioZ_bQ,Dundee House - Dundee City Council,3,43,"50 N Lindsay St, Dundee DD1 1QE, UK",01382 434000,http://www.dundeecity.gov.uk/,True,https://maps.google.com/?cid=13041607767245558842,56.4603048,-2.975563,2,OPERATIONAL,"establishment, local_government_office, point_of_interest"
PF000176,Dundee City Council,ChIJoY3IzFdchkgRqi1rlZ1s6Vs,Sutherland Management (Dundee),4.9,157,"28 Bingham Terrace, Dundee DD4 7HJ, UK",01382 250909,http://www.sutherlandmanagement.co.uk/,True,https://maps.google.com/?cid=6622944151097519530,56.4737801,-2.9417578,3,OPERATIONAL,"establishment, point_of_interest"
PF000176,Dundee City Council,ChIJyTM6er9chkgRoeCn_STdjSA,Angus Glen Properties Ltd,4.8,59,"18 S Tay St, Dundee DD1 1PD, UK",01382 206100,http://www.angusglenproperties.com/,True,https://maps.google.com/?cid=2345774131874095265,56.4582004,-2.9762847,4,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000176,Dundee City Council,ChIJ20pvS1NchkgR-Lt2UKlL3Xw,Dundee East District Housing Office,2.9,14,"169 Pitkerro Rd, Dundee DD4 8ES, UK",01382 307401,http://www.dundeecity.gov.uk/housing/contactus,True,https://maps.google.com/?cid=8997430821127633912,56.4820566,-2.9362276,5,OPERATIONAL,"establishment, local_government_office, point_of_interest"
PF000382,East Ayrshire Council,ChIJt8VoXesyiEgRl5EFfdEtvQE,East Ayrshire Council Housing Department,2.5,11,"Civic Centre North, John Dickie St, Kilmarnock KA1 1HW, UK",01563 576618,https://www.east-ayrshire.gov.uk/Housing/Housing.aspx,True,https://maps.google.com/?cid=125306742405173655,55.6102206,-4.498451,1,OPERATIONAL,"establishment, local_government_office, point_of_interest"
PF000382,East Ayrshire Council,ChIJ7SLIe5cyiEgRSzL8JA86ra0,East Ayrshire Council Housing Asset Services,,0,"Holmquarry Road, Holmquarry House, Riccarton, Kilmarnock KA1 4EP, UK",01563 555710,https://www.east-ayrshire.gov.uk/CouncilAndGovernment/About-the-Council/East-Ayrshire-Council-Structure/Safer-Communities/HousingandCommunities/HousingAssetServices.aspx,True,https://maps.google.com/?cid=12514722776251904587,55.5981621,-4.499206099999999,2,OPERATIONAL,"establishment, point_of_interest"
PF000382,East Ayrshire Council,ChIJP1VprYsyiEgRCgSMhJvc6C0,East Ayrshire Council,2.9,8,"95 London Rd, Kilmarnock KA3 7DD, UK",01563 554400,https://www.east-ayrshire.gov.uk/Home.aspx,True,https://maps.google.com/?cid=3308136486805439498,55.605698,-4.478769,3,OPERATIONAL,"establishment, point_of_interest"
PF000382,East Ayrshire Council,ChIJZbqGtZ_WiUgRCCmLjjbr1M8,Ayrshire Housing,4.1,41,"119 Main St, Ayr KA8 8BX, UK",01292 880120,https://ayrshirehousing.org.uk/,True,https://maps.google.com/?cid=14975853280465987848,55.4680733,-4.6299357,4,OPERATIONAL,"establishment, point_of_interest"
PF000382,East Ayrshire Council,ChIJsb-oCZ7WiUgRJ8fLaI2I8p4,South Ayrshire Council Housing,3.8,5,"21 River Terrace, Ayr KA8 0AU, UK",0300 123 0900,https://www.south-ayrshire.gov.uk/apply-for-council-housing/,True,https://maps.google.com/?cid=11453366943286544167,55.464493,-4.6280906,5,OPERATIONAL,"establishment, point_of_interest"
PF000229,East Kilbride and District Housing Association Ltd,ChIJkbmDbUI_iEgRzwQXo5LLcQ0,East Kilbride & District Housing Association Ltd,3.5,12,"2 Old Coach Rd, East Kilbride, Glasgow G74 4DP, UK",01355 227751,http://www.ekdha.co.uk/,True,https://maps.google.com/?cid=968779225523225807,55.768819,-4.176573299999999,1,OPERATIONAL,"establishment, point_of_interest"
PF000386,East Lothian Housing Association Ltd,ChIJjWc9p1Omh0gRiOu39c_V20U,East Lothian Housing Association,3.1,17,"18-20 Market St, Haddington EH41 3JL, UK",01620 825032,http://www.elha.com/,True,https://maps.google.com/?cid=5033852097674079112,55.95591599999999,-2.776797,1,OPERATIONAL,"establishment, point_of_interest"
PF000343,East Renfrewshire Council,ChIJnQzQLLtIiEgRL-qUdW8cOe4,Shafaatulla Property Management,5,11,"711 Pollokshaws Rd, Glasgow G41 2AA, UK",0141 404 5457,http://www.spmglasgow.co.uk/,True,https://maps.google.com/?cid=17165782719738997295,55.8359671,-4.2707212,1,OPERATIONAL,"establishment, point_of_interest"
PF000343,East Renfrewshire Council,ChIJ0a56kcBHiEgR_l0rGrc2sT8,East Renfrewshire Council,1.8,10,"211 Main St, Barrhead, Glasgow G78 1SY, UK",0141 577 3001,https://www.eastrenfrewshire.gov.uk/,True,https://maps.google.com/?cid=4589509655313210878,55.80193,-4.3875304,2,OPERATIONAL,"establishment, point_of_interest"
PF000343,East Renfrewshire Council,ChIJcZMlPQZgZQERYFZGJjmL3EI,Buchanan Residential Property Management & Letting Agents in Glasgow,5,18,"2/3, 48 W George St, Glasgow G2 1BP, UK",0141 258 2788,https://buchananresidential.co.uk/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Glasgow,True,https://maps.google.com/?cid=4817878778951128672,55.8621203,-4.2532342,3,OPERATIONAL,"establishment, point_of_interest"
PF000343,East Renfrewshire Council,ChIJx09kU51GiEgRJAa4aazro0E,East Renfrewshire Council,,0,"The Eagle Bldg, 215 Bothwell St, Glasgow G2 7ED, UK",0800 373635,https://www.eastrenfrewshire.gov.uk/,True,https://maps.google.com/?cid=4729883159409722916,55.8616531,-4.2662952,4,OPERATIONAL,"establishment, point_of_interest"
PF000343,East Renfrewshire Council,ChIJVc020dZHiEgRTrnGZvd8JF4,East Renfrewshire Council,4.1,26,"190 Carnwadric Rd, Thornliebank, Glasgow G46 8HR, UK",0141 577 3607,https://www.eastrenfrewshire.gov.uk/,True,https://maps.google.com/?cid=6783684340749875534,55.8075876,-4.3245983,5,OPERATIONAL,"establishment, point_of_interest"
PF000393,Easthall Park Housing Association Limited,ChIJ5ZpMYmpFiEgRBiMkSjqGZjk,Easthall Park Housing Association,,0,"6 Glenburnie Pl, Glasgow G34 9AN, UK",0141 781 2277,https://www.easthallpark.org.uk/,True,https://maps.google.com/?cid=4136140892696486662,55.8629665,-4.1271014,1,OPERATIONAL,"establishment, point_of_interest"
PF000725,Edinburgh Block Management Ltd,ChIJvxA-KHLHh0gRes73B3peVts,Edinburgh Block Management,4.8,31,"25 Nicolson Square, Edinburgh EH8 9BX, UK",0131 510 9000,http://www.edinburghblockmanagement.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6408375781317396808,True,https://maps.google.com/?cid=15804923820516036218,55.94547679999999,-3.185746,1,OPERATIONAL,"establishment, general_contractor, locksmith, point_of_interest, roofing_contractor"
PF000796,Edwin Thompson LLP,ChIJaZ5DNb2Eh0gRtvwRtYfdXiY,Edwin Thompson,3.9,15,"76 Overhaugh St, Galashiels TD1 1DP, UK",01896 751300,http://www.edwinthompson.co.uk/,True,https://maps.google.com/?cid=2764890796180241590,55.6155713,-2.8064513,1,OPERATIONAL,"establishment, finance, point_of_interest, real_estate_agency"
PF000796,Edwin Thompson LLP,ChIJd4S-vJ5Ih0gREZ4wvIdS5k4,Edwin Thompson,4.2,6,"44-48 Hide Hill, Berwick-upon-Tweed TD15 1AB, UK",01289 304432,http://www.edwinthompson.co.uk/,True,https://maps.google.com/?cid=5685322322533195281,55.768126,-2.0031031,2,OPERATIONAL,"establishment, point_of_interest"
PF000205,Eildon Housing Association Ltd,ChIJK5U-LdB9fUgRkZnC7p2JFpk,Eildon Housing Association Ltd,4,26,"The Weaving Shed, Ettrick Mill Cottages, Dunsdale Rd, Selkirk TD7 5EB, UK",0300 020 0217,http://www.eildon.org.uk/,True,https://maps.google.com/?cid=11031155648699210129,55.5547649,-2.8398857,1,OPERATIONAL,"establishment, point_of_interest"
PF000197,Elderpark Housing Association Limited,ChIJ87H7KeJFiEgRDLRbwmAkaoY,Elderpark Housing Association,3.6,44,"65 Golspie St, Glasgow G51 3AX, UK",0141 440 2244,http://www.elderpark.org/,True,https://maps.google.com/?cid=9685593946609923084,55.8620341,-4.3169368,1,OPERATIONAL,"establishment, point_of_interest"
PF000844,Empardio Limited,ChIJK7gXzy3ziEgRXUnBUEsrsJg,Empardio Limited,,0,"Unit 14, Lagrannoch Industrial Estate, Callander FK17 8LD, UK",01877 381211,http://www.empardio.com/,True,https://maps.google.com/?cid=11002341492143507805,56.2377877,-4.2001094,1,OPERATIONAL,"establishment, point_of_interest"
PF000158,Ethical Maintenance C.I.C,ChIJV41BFI4PhEgRaplO7aD4tw4,Ethical Maintenance cic,1,1,"2 Poynernook Rd, Aberdeen AB11 5RW, UK",01224 516510,,True,https://maps.google.com/?cid=1060589607328848234,57.1419611,-2.0922967,1,OPERATIONAL,"establishment, point_of_interest"
PF000158,Ethical Maintenance C.I.C,ChIJQ-N1K5ViiEgRYnEI0jbRQlA,Ethical Maintenance,1,6,"239, Castle House, 1 Baker St, Stirling FK8 1AL, UK",01786 342006,https://www.ethicalmaintenance.org/,True,https://maps.google.com/?cid=5783414904879346018,56.1186908,-3.938898899999999,2,OPERATIONAL,"establishment, point_of_interest"
PF000809,Facilities Management Scotland Limited,ChIJ_____85GiEgRKdph-6ChKNI,City Facilities Management Holdings Ltd,2.7,48,"Caledonia House, Lawmoor St, Glasgow G5 0US, UK",0141 418 9000,https://www.cityfm.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,True,https://maps.google.com/?cid=15143531459817626153,55.8452262,-4.2502927,1,OPERATIONAL,"establishment, point_of_interest"
PF000809,Facilities Management Scotland Limited,ChIJ__8j5OdFiEgR2R7WqxyDKos,ON Facilities Management Ltd,,0,"23 Crow Rd, Glasgow G11 7RT, UK",07538 879678,http://onfacilitiesmanagement.co.uk/,True,https://maps.google.com/?cid=10027971679459090137,55.8710891,-4.313745,2,OPERATIONAL,"establishment, point_of_interest"
PF000809,Facilities Management Scotland Limited,ChIJA7kZ9GlpiEgRgGdQR9SLjOA,CCS Facilities Management ltd,,0,"13 Skye Ct, Cumbernauld, Glasgow G67 1PA, UK",07429 555651,https://www.ccs-fm.co.uk/,True,https://maps.google.com/?cid=16180461305081128832,55.9402667,-4.0061464,3,OPERATIONAL,"establishment, point_of_interest"
PF000809,Facilities Management Scotland Limited,ChIJi8zwaj1EiEgRICF52NbjGcA,Mario Group Facilities Management,,0,"1 Eagle St, Glasgow G4 9XA, UK",0141 378 6000,https://www.mariogroup.co.uk/,True,https://maps.google.com/?cid=13842345441594253600,55.8750925,-4.2554436,5,OPERATIONAL,"establishment, point_of_interest"
PF001012,Factors Direct Limited,ChIJCdYN5AB6HK8ROUIbeltAFsM,Factors Direct,5,5,"34 Gibson St, Glasgow G12 8NX, UK",0141 739 4439,https://factorsdirect.co.uk/,True,https://maps.google.com/?cid=14057494048518390329,55.8725868,-4.2824731,1,OPERATIONAL,"establishment, point_of_interest"
PF000406,Factotum (Scotland) Ltd,ChIJea8pe5LHh0gRYPHx07-ZxzU,Factotum Letting (Merged with Murray & Currie),3.6,71,"6 Queen St, Edinburgh EH2 4NA, UK",0131 290 2929,http://www.factotum.co.uk/,True,https://maps.google.com/?cid=3875235053549252960,55.9549889,-3.1959632,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000365,Falkirk Council,ChIJ00hcjC56iEgRROrq8t9iJ7Q,Falkirk Homes Estate Agency,4.4,69,"107E High St, Falkirk FK1 1ED, UK",01324 620112,http://www.falkirkhomes.co.uk/,True,https://maps.google.com/?cid=12981453164911454788,55.9990879,-3.784418799999999,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000365,Falkirk Council,ChIJPZT1IIx5iEgRSzFAawLu3zI,Link Group (Falkirk),2.7,97,"Watling House/Callendar Business Pk, Callendar Rd, Falkirk FK1 1XR, UK",0345 140 0100,https://linkhousing.org.uk/,True,https://maps.google.com/?cid=3665910315859587403,55.9948592,-3.7611191,2,OPERATIONAL,"establishment, point_of_interest"
PF000365,Falkirk Council,ChIJ5YzE-i96iEgR8PTlRYy4PTc,Belvoir Falkirk,4.4,190,"38 Vicar St, Falkirk FK1 1JB, UK",01324 623523,https://www.belvoir.co.uk/falkirk,True,https://maps.google.com/?cid=3980540558273017072,56.0011501,-3.7846277,3,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000365,Falkirk Council,ChIJPYN0ATB6iEgROOXGIedyzXs,Clyde Property Falkirk,4.8,134,"24 Newmarket St, Falkirk FK1 1JQ, UK",01324 881777,https://www.clydeproperty.co.uk/branches/falkirk/,True,https://maps.google.com/?cid=8920912773920515384,56.000735,-3.785448,4,OPERATIONAL,"establishment, finance, point_of_interest, real_estate_agency"
PF000365,Falkirk Council,ChIJ55mMXSV6iEgR6nzgOxE0zD4,Your Move Estate Agents Falkirk,4.8,225,"4 Bank St, Falkirk FK1 1NB, UK",01324 632266,https://www.your-move.co.uk/estate-agent/falkirk?utm_source=google_my_business&utm_medium=organic&utm_campaign=YMFK11NB,True,https://maps.google.com/?cid=4525048974224162026,56.0002618,-3.7840925,5,OPERATIONAL,"establishment, finance, point_of_interest, real_estate_agency"
PF000832,FBR Seed Limited,ChIJHaDMkSNsh0gR8gtzJ1Ko4ss,FBR Seed,3.1,7,"Rose Ln, Kelso TD5 7AP, UK",01573 224381,https://www.fbrseed.com/,True,https://maps.google.com/?cid=14691490005238615026,55.6002158,-2.430962,1,OPERATIONAL,"establishment, point_of_interest"
PF000361,Fife Council,ChIJ__-PKv20h0gRoeJtOfen5LY,Fife Council,2.8,6,"2 Park Rd, Kirkcaldy KY1 3EL, UK",,https://www.fife.gov.uk/kb,True,https://maps.google.com/?cid=13178843089855177377,56.1301675,-3.136638,1,OPERATIONAL,"establishment, point_of_interest"
PF000361,Fife Council,ChIJ0RdqkObRh0gRGs62UV1VgqU,Fife Housing Group,2.9,40,"Pitreavie Business Park, 7 Pitreavie Ct, Dunfermline KY11 8UU, UK",0800 027 4007,http://www.fifehg.org.uk/,True,https://maps.google.com/?cid=11926188622521749018,56.0487838,-3.4330961,2,OPERATIONAL,"establishment, point_of_interest"
PF000361,Fife Council,ChIJo1hSfqe1h0gRHBlkE1bxsbo,Fife Private Rental Solutions,4.2,9,"83-85 Dunnikier Rd, Kirkcaldy KY1 2QW, UK",01592 201849,http://www.fifeprivaterentalsolutions.co.uk/,True,https://maps.google.com/?cid=13452798913927190812,56.11836419999999,-3.1574885,3,OPERATIONAL,"establishment, point_of_interest"
PF000361,Fife Council,ChIJXXFWJu5KhkgRsiQ6l8l2ovk,Fife Properties Estate & Letting Agents,4.9,90,"97 Bonnygate, Cupar KY15 4LG, UK",01334 654221,http://www.fifeproperties.co.uk/,True,https://maps.google.com/?cid=17988070469868856498,56.3192722,-3.0172567,4,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000361,Fife Council,ChIJ12Eqv_JKhkgRCeYIEe8bLBk,Fife Council,1.8,60,"Fife House, North St, Glenrothes KY7 5LT, UK",0345 155 0000,https://www.fife.gov.uk/,True,https://maps.google.com/?cid=1813855463520396809,56.1974824,-3.1764578,5,OPERATIONAL,"establishment, local_government_office, point_of_interest"
PF000142,Fife Housing Association Limited,ChIJ0RdqkObRh0gRGs62UV1VgqU,Fife Housing Group,2.9,40,"Pitreavie Business Park, 7 Pitreavie Ct, Dunfermline KY11 8UU, UK",0800 027 4007,http://www.fifehg.org.uk/,True,https://maps.google.com/?cid=11926188622521749018,56.0487838,-3.4330961,1,OPERATIONAL,"establishment, point_of_interest"
PF000904,Fior Asset and Property Limited,ChIJ56H2rHHHh0gRFjQH7MgmS2o,Fior Asset & Property - property management Edinburgh,4.7,47,"24 Canning St, Edinburgh EH3 8EG, UK",0333 444 0586,https://fiorassetandproperty.com/,True,https://maps.google.com/?cid=7659258235668870166,55.9471471,-3.212032,1,OPERATIONAL,"establishment, point_of_interest"
PF000211,FIRSTPORT PROPERTY SERVICES NO.17 LIMITED,ChIJOWM3i7uuiUgRuIaqY-gFH5c,First Port Porperty Services Scotland,,0,"Kings Court, 89 W King St, Helensburgh G84 8EF, UK",01436 679897,,True,https://maps.google.com/?cid=10889428919667820216,56.0066478,-4.7434639,3,OPERATIONAL,"establishment, point_of_interest"
PF000095,FirstPort Property Services Scotland Limited,ChIJOWM3i7uuiUgRuIaqY-gFH5c,First Port Porperty Services Scotland,,0,"Kings Court, 89 W King St, Helensburgh G84 8EF, UK",01436 679897,,True,https://maps.google.com/?cid=10889428919667820216,56.0066478,-4.7434639,1,OPERATIONAL,"establishment, point_of_interest"
PF001037,FLATM8 Ltd,ChIJoWeY8lBGiEgRBEfgchPoTJU,Mac Flats Ltd,4.5,20,"1 Carment Dr, Shawlands, Glasgow G41 3PP, UK",0141 636 5525,http://www.macflats.co.uk/,True,https://maps.google.com/?cid=10758228780110595844,55.8264744,-4.2857723,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000511,Fleming House Factors Limited,ChIJtfqXxSZEiEgRmR9ozhOBXpg,Fleming House,4.2,46,"134 Renfrew St, Glasgow G3 6RF, UK",0141 353 3354,,True,https://maps.google.com/?cid=10979354863643139993,55.8659461,-4.2607671,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000511,Fleming House Factors Limited,ChIJmcWX709viEgRUChTx3MeHPk,Fleming House,3.1,17,"2 Tryst Rd, Cumbernauld, Glasgow G67 1JW, UK",01236 632500,https://www.northlanarkshire.gov.uk/,True,https://maps.google.com/?cid=17950255697406142544,55.9482867,-3.9867547,2,OPERATIONAL,"establishment, point_of_interest"
PF000511,Fleming House Factors Limited,ChIJH13tkPFCiEgRfQAvXhrv90U,Fleming Buildings Ltd,4.7,9,"23 Auchinloch Rd, Lenzie, Kirkintilloch, Glasgow G66 5ET, UK",0141 776 1181,http://www.fleming-buildings.co.uk/,True,https://maps.google.com/?cid=5041761204392886397,55.9194662,-4.150987499999999,3,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF000511,Fleming House Factors Limited,ChIJA9pWXsRCiEgRrng02oA5ae0,Homesbook Factoring Ltd,4.6,87,"66A Townhead, Kirkintilloch, Glasgow G66 1NZ, UK",0141 776 4494,http://www.homesbook.co.uk/,True,https://maps.google.com/?cid=17107267885123008686,55.9364307,-4.1529411,5,OPERATIONAL,"establishment, point_of_interest"
PF000179,Forgewood Housing Co-operative Ltd,ChIJwRF7jGpriEgRE0ObGRRHnfU,Forgewood Housing Co-operative Ltd,4.5,91,"49 Dinmont Cres, Motherwell ML1 3TT, UK",01698 263311,http://forgewood.org/,True,https://maps.google.com/?cid=17698380262290440979,55.8050631,-4.002558899999999,1,OPERATIONAL,"establishment, point_of_interest"
PF000217,Forth Housing Association Ltd,ChIJd5OWu5ViiEgRdLqxzQKaCzQ,Forth Housing Association Ltd,3.9,14,"Kildean Business & Enteprise Hub, 146 Drip Rd, Stirling FK8 1RW, UK",01786 446066,http://www.forthha.org.uk/,True,https://maps.google.com/?cid=3750260451547658868,56.1315519,-3.9559639,1,OPERATIONAL,"establishment, point_of_interest"
PF000155,Fyne Homes Ltd,ChIJrz0o5wOWiUgRimBs-GG6mjg,Fyne Homes Ltd,4.3,16,"81 Victoria St, Rothesay, Isle of Bute PA20 0AP, UK",0345 607 7117,http://www.fynehomes.org.uk/,True,https://maps.google.com/?cid=4078777342479851658,55.8380027,-5.057354399999999,1,OPERATIONAL,"establishment, point_of_interest"
PF000155,Fyne Homes Ltd,ChIJz8DS4cuDiUgRK57wPxgQVMw,Fyne Homes Ltd,,0,"The Attic, Manse Brae, Lochgilphead PA31 8RS, UK",0345 607 7117,https://fynehomes.org.uk/,True,https://maps.google.com/?cid=14723410778118987307,56.0336227,-5.427272299999999,2,OPERATIONAL,"establishment, local_government_office, point_of_interest"
PF000322,G M Thomson & Co,ChIJUwrmGhPKYkgRzTLPkghfzfI,G M Thomson & Co,2.5,20,"35 Buccleuch St, Dumfries DG1 2AB, UK",01387 254424,http://www.gmthomson.co.uk/,True,https://maps.google.com/?cid=17495744617831674573,55.06978609999999,-3.615191499999999,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000592,Gadloch Limited,ChIJHWwinPFCiEgRk47UhdeOIr4,Gadloch Limited,,0,"29 Auchinloch Rd, Lenzie, Kirkintilloch, Glasgow G66 5ES, UK",07949 636508,http://gadloch.co.uk/,True,https://maps.google.com/?cid=13700670072728882835,55.919213,-4.151116099999999,1,OPERATIONAL,"establishment, point_of_interest"
PF001024,Galloway and Ayrshire Properties Ltd,ChIJfQiO09dYYkgRo4APcKHHaOA,Galloway & Ayrshire Properties Ltd,4.8,10,"28 Victoria St, Newton Stewart DG8 6BT, UK",01671 402104,http://www.gapinthemarket.com/,True,https://maps.google.com/?cid=16170393958257492131,54.9583911,-4.482923,1,OPERATIONAL,"establishment, point_of_interest"
PF000194,Gardeen Housing Association Limited,ChIJB6iQjfJBiEgRgM2JMuaCnq0,Gardeen Housing Association,4.2,5,"32 Garlieston Rd, Glasgow G33 4UD, UK",0141 771 9590,https://gardeen.org.uk/,True,https://maps.google.com/?cid=12510580740083797376,55.85678619999999,-4.1299075,1,OPERATIONAL,"establishment, point_of_interest"
PF000886,Gardiner Waters Limited,ChIJK5Dp-ytEiEgR7s7Ymrb6ns0,Gardiner Waters,4.9,107,"4 Woodside Pl, Glasgow G3 7QF, UK",07938 126324,http://www.gardinerwaters.co.uk/,True,https://maps.google.com/?cid=14816555486284402414,55.8670694,-4.2728902,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF001105,Garelochhead Minibuses and Coaches Ltd,ChIJ-Veqc2ioiUgRukfJvG8VXz4,Garelochhead Mini Buses & Coaches Ltd,4,32,"Garelochhead, Helensburgh G84 0EG, UK",01436 810200,https://www.garelochheadcoaches.co.uk/,True,https://maps.google.com/?cid=4494334522791905210,56.0769263,-4.827674000000001,1,OPERATIONAL,"establishment, point_of_interest"
PF000178,Garrion People's Housing Co-operative Limited,ChIJL1pynygTiEgRhCu33r_XaL8,Garrion Peoples Housing Co-Operative Ltd,3.7,16,"70 Smith Ave, Wishaw ML2 0LD, UK",01698 687222,http://www.gphc.org.uk/,True,https://maps.google.com/?cid=13792511077897415556,55.7603433,-3.9243839,1,OPERATIONAL,"establishment, point_of_interest"
PF000975,Gilmour Property Services Ltd,ChIJ2zgS0pJFiEgRPRJJyS3c-o8,Gilmour Building Services,3.5,6,"501 Crow Rd, Glasgow G11 7DN, UK",0141 959 1961,,True,https://maps.google.com/?cid=10374846780810007101,55.8825541,-4.326938200000001,1,OPERATIONAL,"establishment, point_of_interest"
PF000975,Gilmour Property Services Ltd,ChIJTSadR6V-iEgRvaYnwxLrt0U,DA Gilmour Ltd,1,1,"23 Carse View, Airth, Falkirk FK2 8NY, UK",01324 831544,https://www.dagilmour.co.uk/,True,https://maps.google.com/?cid=5023742375171172029,56.0693786,-3.7661134,3,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF000975,Gilmour Property Services Ltd,ChIJdULStbTah0gR2b_kv2G8Nc8,Gilmour Gas Services,5,1,"43 Kirklands Park St, Kirkliston EH29 9EY, UK",0131 333 0340,https://gilmourgas.co.uk/about-us,True,https://maps.google.com/?cid=14931047267634036697,55.9605116,-3.411957,5,OPERATIONAL,"establishment, point_of_interest"
PF000347,Glasgow Harbour Management Ltd,ChIJjzzGcJxGiEgRhnFxNuib2Xs,Glasgow Harbour Ltd,,0,"16 Robertson St, Glasgow G2 8DS, UK",0141 433 7550,http://www.peel.co.uk/,True,https://maps.google.com/?cid=8924335558259470726,55.85705859999999,-4.26079,1,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF000329,Glasgow West Enterprises Limited,ChIJ41j4SCtEiEgRMiaJzqmY1h8,Glasgow West Housing Association,3.1,49,"5 Royal Cres, Glasgow G3 7SL, UK",0141 331 6650,http://www.gwha.org.uk/,True,https://maps.google.com/?cid=2294188915273836082,55.866027,-4.2811742,1,OPERATIONAL,"establishment, point_of_interest"
PF000329,Glasgow West Enterprises Limited,ChIJYad0JY1FiEgR1VIPx4EGwlw,We Let Property Ltd,5,10,"Clyde Offices, 2nd Floor, 48 W George St, Glasgow G2 1BP, UK",0141 432 4312,http://www.weletproperty.co.uk/,True,https://maps.google.com/?cid=6683911951431455445,55.8621203,-4.2532342,2,OPERATIONAL,"establishment, point_of_interest"
PF000329,Glasgow West Enterprises Limited,ChIJASEgkxFEiEgRieqO6d98jvc,West Of Scotland Housing Association,3.8,57,"40 Barrowfield Dr, Glasgow G40 3QH, UK",0141 550 5600,http://www.westscot.co.uk/,True,https://maps.google.com/?cid=17838332475199122057,55.84914939999999,-4.2158064,3,OPERATIONAL,"establishment, point_of_interest"
PF000329,Glasgow West Enterprises Limited,ChIJg3gw6LhFiEgR1M8-AnPEn5Q,Western Lettings Glasgow Letting Agents,4.8,324,"Suite 3, Platinum House, 23 Eagle St, Glasgow G4 9XA, UK",0141 357 0436,https://www.westernlettings.co.uk/?utm_source=google&utm_medium=organic&utm_term=gmb,True,https://maps.google.com/?cid=10709494437148282836,55.8756807,-4.251445299999999,4,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000329,Glasgow West Enterprises Limited,ChIJeXzN4PZFiEgRkHn3C0KV9AQ,WS Property Management Limited,,0,"Workspace 4, 1A Northinch St, Glasgow G14 0UG, UK",0141 959 2552,http://wspm.org.uk/,True,https://maps.google.com/?cid=357074381370259856,55.8738535,-4.3370878,5,OPERATIONAL,"establishment, point_of_interest"
