matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000785,registration_number,Lowther Homes Limited,pf000785,FTS/HPC/LM/23/0079 + FTS/HPC/LM/23/0081,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm230079-ftshpclm230081,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2023-06-16T12:00:00Z,Complied,positive,resolved,False,True,False,False,False,True,True,True,"PFEO LM.23.0079 + 0081 (1)_Redacted.pdf | PFEO 0079 and 0081 Vary 1_Redacted.pdf | PFEO LM 23 0079 0081 Vary Decision (1)_Redacted.pdf | Certificate of Compliance 0079, 0081.pdf | Written Decision LM.23.0079 + 0081_Redacted.pdf",https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20LM.23.0079%20%2B%200081%20%281%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-04/PFEO%200079%20and%200081%20Vary%201_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-04/PFEO%20LM%2023%200079%200081%20Vary%20Decision%20%281%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-10/Certificate%20of%20Compliance%200079%2C%200081.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-10/Written%20Decision%20LM.23.0079%20%2B%200081_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,FTS/HPC/PF/22/4452,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf224452,,2024-05-31T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,Certificate of Compliance PF.22.4452_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-10/Certificate%20of%20Compliance%20PF.22.4452_Redacted.pdf,,
PF000423,registration_number,Park Property Management Ltd,PF000423,FTS/HPC/PF/23/1674,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231674,,2024-01-09T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,PF 23.1674 Decision Minerva Way_Redacted.pdf | Written Decision (Complied) PF 23.1674 Minerva Way_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/PF%2023.1674%20Decision%20Minerva%20Way_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-10/Written%20Decision%20%28Complied%29%20PF%2023.1674%20Minerva%20Way_Redacted.pdf,,
PF000177,registration_number,Myreside Management Limited,PF000177,FTS/HPC/PF/24/1914,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241914,,2024-09-19T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied) PF.24.1914_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-10/Written%20Decision%20%28Complied%29%20PF.24.1914_Redacted.pdf,,
PF000513,registration_number,Archerfield House Hotel Management Ltd,PF000513,FTS/HPC/LM/24/1848,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm241848,,2024-09-05T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied) LM.24.1848_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-10/Written%20Decision%20%28Complied%29%20LM.24.1848_Redacted.pdf,,
PF000095,registration_number,First Port Property Services Scotland LTD,PF000095,FTS/HPC/LM/23/3665,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm233665,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-07-18T12:00:00Z,Complied,positive,resolved,False,True,True,False,True,True,True,True,Property Factor Enforcement Order (PFEO) (Proposed) 3665.pdf | Written Decision (Failure to Comply) (Proposed PFEO) 3665.pdf | Property Factor Enforcement Order LM.23.3665_Redacted.pdf | Certificate of Compliance LM.23.3665_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-09/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%203665.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%203665.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-10/Property%20Factor%20Enforcement%20Order%20LM.23.3665_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-10/Certificate%20of%20Compliance%20LM.23.3665_Redacted.pdf,,
PF000153,registration_number,Charles White Ltd,PF000153,FTS/HPC/PF/23/2342,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232342,,2024-08-15T12:00:00Z,Dismissed,positive,,False,False,False,False,False,False,False,False,Written Decision (Dismissal) PF.23.2342_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-10/Written%20Decision%20%28Dismissal%29%20PF.23.2342_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,"FTS/HPC/PF/23/4029, 4030 + 4031",https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234029-4030-4031,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-07-23T12:00:00Z,Complied,positive,resolved,True,True,True,False,False,True,True,True,"Written Decision PF.23.4029, 4030 + 4031_Redacted.pdf | Proposed PFEO PF.23.4029, 4030 + 4031_Redacted.pdf | Certificate of Compliance PF.23.4029, 4030 + 4031_Redacted.pdf",https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20PF.23.4029%2C%204030%20%2B%204031_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-09/Proposed%20PFEO%20PF.23.4029%2C%204030%20%2B%204031_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-10/Certificate%20of%20Compliance%20PF.23.4029%2C%204030%20%2B%204031_Redacted.pdf,,
PF000329,registration_number,Glasgow West Housing Association/Enterprises,PF000329,FTS/HPC/PF/23/2592,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232592,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-07-04T12:00:00Z,Failure to Comply,negative,unresolved,False,True,False,False,False,True,False,True,Property Factor Enforcement Order (PFEO) (Proposed) 2592_Redacted.pdf | Written Decision (Failure to Comply) (Proposed PFEO) 2592_Redacted.pdf | Compliance Decision Property Factor_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%202592_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%202592_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-10/Compliance%20Decision%20Property%20Factor_Redacted.pdf,,
PF000288,registration_number,Hacking & Paterson Management Services,PF000288,FTS/HPC/PF/23/3408,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233408,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-05-23T12:00:00Z,Failure to Comply,negative,unresolved,False,True,True,False,False,False,True,True,PF 23.3408 Decision.pdf | Proposed PFEO 23.3408.pdf | Property Factor Enforcement Order (PFEO) 3408_Redacted.pdf | Written Decision (Failure to Comply with Order) PF 23.3408_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/PF%2023.3408%20Decision.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Proposed%20PFEO%2023.3408.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%203408_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20%28Failure%20to%20Comply%20with%20Order%29%20PF%2023.3408_Redacted.pdf,,
PF000196,registration_number,Ross and Liddell,PF000196,FTS/HPC/PF/23/4109,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234109,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-09-02T12:00:00Z,PFEO Issued - Non-Compliant,negative,unresolved,False,True,False,False,False,True,False,True,Written Decision (Failure to Comply) (No PFEO) Redacted 4109.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20%28Failure%20to%20Comply%29%20%28No%20PFEO%29%20Redacted%204109.pdf,,
PF000170,registration_number,Trinity Factoring Services Ltd,PF000170,FTS/HPC/PF/23/0299+0302,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf2302990302,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-04-25T12:00:00Z,Complied,positive,resolved,False,True,True,False,False,False,True,True,Written Decision PF.23.0299+0302_Redacted.pdf | Proposed PFEO PF.23.0299+0302_Redacted.pdf | PFEO PF.23.0299+0302_Redacted.pdf | Certificate of Compliance PF.23.0299+0302_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20PF.23.0299%2B0302_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Proposed%20PFEO%20PF.23.0299%2B0302_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/PFEO%20PF.23.0299%2B0302_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-09/Certificate%20of%20Compliance%20PF.23.0299%2B0302_Redacted.pdf,,
PF000785,registration_number,Lowther Homes,PF000785,FTS/HPC/PF/23/3611,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233611,,2024-07-26T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (No Proposed PFEO)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20%28Failure%20to%20Comply%29%20%28No%20Proposed%20PFEO%29_Redacted.pdf,,
PF000709,registration_number,Aquila Management Services,PF000709,FTS/HPC/PF/23/1370,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231370,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-03-28T12:00:00Z,Complied,positive,resolved,True,True,True,True,True,True,True,True,Written Decision PF.23.1370_Redacted.pdf | Proposed PFEO PF.23.1370_Redacted.pdf | Property Factor Enforcement Order (PFEO) 1370_Redacted.pdf | Certificate of Compliance PF.23.1370_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20PF.23.1370_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Proposed%20PFEO%20PF.23.1370_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%201370_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-09/Certificate%20of%20Compliance%20PF.23.1370_Redacted.pdf,,
PF000288,registration_number,Hacking & Paterson Management Services,PF000288,FTS/HPC/LM/23/1622+1624,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm2316221624,Property Factor Duties,2024-08-14T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,True,Written Decision LM.23.1622+1624_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20LM.23.1622%2B1624_Redacted.pdf,,
PF000191,registration_number,Greenbelt Holding Ltd,PF000191,FTS/HPC/LM/24/0918,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm240918,,2024-08-27T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,Written Decision (Reject) LM.24.0918_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-09/Written%20Decision%20%28Reject%29%20LM.24.0918_Redacted.pdf,,
PF000103,manual_mapping,James Gibb Residential Factors,,GP.22.0141,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/gp220141,,2023-01-19T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,GP.22.0141 proposed PFEO_R.pdf | GP.22.0141 Decision on Homeowners Application_R.pdf | Certificate of Correction GP 22.0141 (1).pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/GP.22.0141%20proposed%20PFEO_R.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-08/GP.22.0141%20Decision%20on%20Homeowners%20Application_R.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-08/Certificate%20of%20Correction%20GP%2022.0141%20%281%29.pdf,,
PF000976,registration_number,"Cumming, Turner & Watt",PF000976,FTS/HPC/PF/23/1109,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf231109,"Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-04-16T12:00:00Z,Failure to Comply,negative,unresolved,False,True,False,False,True,True,False,True,PF.23.1109 proposed PFEO.pdf | PF.23.1109 decision.pdf | Property Factor Enforcement Order (PFEO) 1109_Redacted.pdf | Written Decision (Failure to Comply with Order) PF.23.1109_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/PF.23.1109%20proposed%20PFEO.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/PF.23.1109%20decision.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%201109_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20%28Failure%20to%20Comply%20with%20Order%29%20PF.23.1109_Redacted.pdf,,
PF000110,registration_number,Redpath Bruce Property Management Limited,PF000110,FTS/HPC/PF/23/2204,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232204,"Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-05-29T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,True,False,True,final decision 2204 _Redacted.pdf | proposed  PFEO 2204 10 Fenwick road_Redacted.pdf | PFEO - 22.07.24 - PF.23.2204_Redacted.pdf | 2204-certificate of compliance fenwick road_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-07/final%20decision%202204%20_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/proposed%20%20PFEO%202204%2010%20Fenwick%20road_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/PFEO%20-%2022.07.24%20-%20PF.23.2204_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-08/2204-certificate%20of%20compliance%20fenwick%20road_Redacted.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/PF/23/3699,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233699,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-05-30T12:00:00Z,Complied,positive,resolved,True,True,False,False,False,True,True,True,Written Decision PF.23.3699.pdf | Proposed PFEO PF.23.3699.pdf | PFEO PF.23.3699_Redacted.pdf | Certificate of Compliance PF.23.3699_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20PF.23.3699.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Proposed%20PFEO%20PF.23.3699.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/PFEO%20PF.23.3699_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-08/Certificate%20of%20Compliance%20PF.23.3699_Redacted.pdf,,
PF000785,registration_number,Lowther Homes Ltd,PF000785,FTS/HPC/PF/24/2591,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242591,,,Rejected,positive,,False,False,False,False,False,False,False,False,Written Decision (Reject) PF.24.2591_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20%28Reject%29%20PF.24.2591_Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson Management Services,PF000288,FTS/HPC/PF/24/2705,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242705,Communication and consultation (Section 2 of Code),,Decision Issued,negative,,False,True,False,False,False,False,False,False,Written Decision PF.24.2705_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20PF.24.2705_Redacted.pdf,,
PF000196,registration_number,Ross and Liddell,PF000196,FTS/HPC/PF/24/2643,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242643,"Communication and consultation (Section 2 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",,Decision Issued,negative,,False,True,False,False,False,False,True,True,Written Decision PF.24.2643_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20PF.24.2643_Redacted.pdf,,
PF000177,registration_number,Myreside Management Ltd,PF000177,FTS/HPC/PF/23/2788,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232788,Property Factor Duties,2024-05-30T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,True,Written Decision PF.23.2788_Redacted.pdf | Proposed PFEO PF.23.2788_Redacted.pdf | PFEO PF.23.2788_Redacted.pdf | Certificate of Compliance PF.23.2788_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20PF.23.2788_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Proposed%20PFEO%20PF.23.2788_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/PFEO%20PF.23.2788_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-08/Certificate%20of%20Compliance%20PF.23.2788_Redacted.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/PF/24/2396,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242396,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",,Decision Issued,negative,,False,True,False,False,False,True,False,True,Written Decision PF.24.2396_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20PF.24.2396_Redacted.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/PF/24/1272,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241272,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",,Decision Issued,negative,,True,True,True,False,False,True,True,True,Written Decision PF.24.1272_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20PF.24.1272_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,FTS/HPC/PF/24/2092,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242092,"Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",,Decision Issued,negative,,False,True,False,False,True,True,False,True,Written Decision PF.24.2092_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-08/Written%20Decision%20PF.24.2092_Redacted.pdf,,
PF000314,registration_number,Miller Property Management Ltd,PF000314,FTS/HPC/PF/21/0456,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210456,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code)",2021-10-25T12:00:00Z,PFEO Issued - Non-Compliant,negative,unresolved,False,True,True,False,True,True,False,False,Written Decision 21.0456_Redacted.pdf | Decision- PFEO PF 21 0456 19th Jan 24_Redacted.pdf | Principal PFEO S19 (3) 2011 Act PF 21 0456 19th Jan 24_Redacted.pdf | Decision  PTA PF 21 0456 19th Jan 24_Redacted.pdf | Failure to Comply with PFEO PF 21 0456 July 24_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%2021.0456_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-02/Decision-%20PFEO%20PF%2021%200456%2019th%20Jan%2024_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-02/Principal%20PFEO%20S19%20%283%29%202011%20Act%20PF%2021%200456%2019th%20Jan%2024_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-02/Decision%20%20PTA%20PF%2021%200456%2019th%20Jan%2024_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Failure%20to%20Comply%20with%20PFEO%20PF%2021%200456%20July%2024_Redacted.pdf,[2022] UT 10,https://www.scotcourts.gov.uk/docs/default-source/aboutscs/upper-tribunal-decisions/2022ut10.pdf?sfvrsn=ec93174e_2
PF000108,registration_number,Newton Property Management Limited,PF000108,FTS/HPC/PF/24/0298,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf240298,,2024-06-21T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Statement of Decision0298_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-07/Statement%20of%20Decision0298_Redacted.pdf,,
PF000153,registration_number,Charles White Ltd,PF000153,FTS/HPC/PF/23/2830,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232830,,2024-05-22T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF 23.2830_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF 23.2830_Redacted.pdf | Written Decision (Failure to Comply) (No PFEO) PF 23.2830_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-07/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF%2023.2830_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF%2023.2830_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Written%20Decision%20%28Failure%20to%20Comply%29%20%28No%20PFEO%29%20PF%2023.2830_Redacted_0.pdf,,
PF000153,registration_number,Charles White,PF000153,FTS/HPC/PF/23/0621,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf230621,"Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code)",2024-05-16T12:00:00Z,Complied,positive,resolved,False,False,True,True,False,False,False,False,Written Decision PF.23.0621_Redacted.pdf | Proposed PFEO PF.23.0621_Redacted.pdf | PFEO PF.23.0621.pdf | Certificate of Compliance PF.23.0621_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20PF.23.0621_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Proposed%20PFEO%20PF.23.0621_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/PFEO%20PF.23.0621.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Certificate%20of%20Compliance%20PF.23.0621_Redacted.pdf,,
PF000288,registration_number,Hacking & Paterson,PF000288,FTS/HPC/PF/23/3192+3193,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf2331923193,"Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2024-04-25T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,True,False,True,Written Decision PF.23.3192+3193_Redacted.pdf | Proposed PFEO PF.23.3192+3193 (1)_Redacted.pdf | PFEO PF.23.3192+3193_Redacted.pdf | Certificate of Compliance PF.23.3192+3193_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-05/Written%20Decision%20PF.23.3192%2B3193_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-05/Proposed%20PFEO%20PF.23.3192%2B3193%20%281%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/PFEO%20PF.23.3192%2B3193_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Certificate%20of%20Compliance%20PF.23.3192%2B3193_Redacted.pdf,,
PF000763,registration_number,Residential Management Group Scotland Ltd,PF000763,FTS/HPC/PF/23/3843,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233843,,2024-07-05T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied) PF 23.3843_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-07/Written%20Decision%20%28Complied%29%20PF%2023.3843_Redacted.pdf,,
PF000785,registration_number,Lowther Homes,PF000785,FTS/HPC/PF/23/2738,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf232738,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-03-18T12:00:00Z,PFEO Proposed,negative,pending,False,True,False,False,False,True,True,True,Written Decision PF.23.2738.pdf | Proposed PFEO PF.23.2738.pdf | Written Decision PF.23.2738_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-06/Written%20Decision%20PF.23.2738.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-06/Proposed%20PFEO%20PF.23.2738.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-07/Written%20Decision%20PF.23.2738_Redacted.pdf,,
PF000196,registration_number,Ross & Liddell,PF000196,FTS/HPC/LM/23/1664,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm231664,"Communication and consultation (Section 2 of Code), Debt recovery (Section 4 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code)",2024-05-13T12:00:00Z,Decision Issued,negative,,False,True,False,True,False,True,True,False,Written Decision LM.23.1664_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2024-07/Written%20Decision%20LM.23.1664_Redacted.pdf,,
